,Unnamed: 0,Unnamed: 0.1,Year/Month,Year data,bites rate
0,0,0,2013-01,67,0.013
1,1,1,2013-02,75,0.015
2,2,2,2013-03,78,0.015
3,3,3,2013-04,110,0.021
4,4,4,2013-05,139,0.027000000000000003
5,5,5,2013-06,123,0.024
6,6,6,2013-07,103,0.02
7,7,7,2013-08,108,0.021
8,8,8,2013-09,96,0.019
9,9,9,2013-10,74,0.014
10,10,10,2013-11,84,0.016
11,11,11,2013-12,88,0.017
12,12,12,2014-01,70,0.014
13,13,13,2014-02,70,0.014
14,14,14,2014-03,99,0.019
15,15,15,2014-04,116,0.022
16,16,16,2014-05,135,0.026
17,17,17,2014-06,94,0.018000000000000002
18,18,18,2014-07,116,0.022
19,19,19,2014-08,129,0.025
20,20,20,2014-09,95,0.018000000000000002
21,21,21,2014-10,99,0.019
22,22,22,2014-11,79,0.015
23,23,23,2014-12,74,0.014
24,24,24,2015-01,63,0.012
25,25,25,2015-02,56,0.011
26,26,26,2015-03,85,0.016
27,27,27,2015-04,111,0.022
28,28,28,2015-05,112,0.022
29,29,29,2015-06,119,0.023
30,30,30,2015-07,90,0.017
31,31,31,2015-08,74,0.014
32,32,32,2015-09,72,0.014
33,33,33,2015-10,75,0.015
34,34,34,2015-11,69,0.013
35,35,35,2015-12,59,0.011
36,36,36,2016-01,81,0.016
37,37,37,2016-02,59,0.011
38,38,38,2016-03,120,0.023
39,39,39,2016-04,97,0.019
40,40,40,2016-05,108,0.021
41,41,41,2016-06,114,0.022
42,42,42,2016-07,104,0.02
43,43,43,2016-08,86,0.017
44,44,44,2016-09,77,0.015
45,45,45,2016-10,88,0.017
46,46,46,2016-11,67,0.013
47,47,47,2016-12,50,0.01
48,48,48,2017-01,58,0.011
49,49,49,2017-02,71,0.014
50,50,50,2017-03,70,0.014
51,51,51,2017-04,96,0.019
52,52,52,2017-05,113,0.022
53,53,53,2017-06,124,0.024
54,54,54,2017-07,121,0.023
55,55,55,2017-08,124,0.024
56,56,56,2017-09,24,0.005
